Date,Chapter,VideoTime,SenderId,DanMuContent
2020-01-01,1,2842.81400,3329f21,啊啊啊啊啊啊啊啊啊啊啊啊啊啊
2020-01-01,1,782.25700,627764ec,Gai！
2020-01-01,1,2600.69400,4c59c5e9,无限大无限大无限大
2020-01-01,1,9.37900,abbac0e3,我来补课
2020-01-01,1,2380.23000,4a6294d6,吸
2020-01-01,1,255.03800,e3dceb08,年轻人的晚会？不，你我已经人到中年！
2020-01-01,1,3119.52200,535331c8,中国红
2020-01-01,1,147.82000,64453978,.
2020-01-01,1,3130.96600,9bc56880,中国红!
2020-01-01,1,2366.80400,b81946f8,吸吸吸吸吸
2020-01-01,1,3122.62100,ad221f02,无悔魂魄入华夏
2020-01-01,1,2977.82800,e5eb5ace,超超的腿是真的美，非正一绝
2020-01-01,1,110.31100,77790fde,为了部落
2020-01-01,1,3125.77200,22197d,爱我中华，雄我国威
2020-01-01,1,2127.02800,5d33f7c3,猛男必听
2020-01-01,1,418.79300,8805b422,饿了吃火鸡面
2020-01-01,1,3559.12400,4dcff9fe,艾欧尼亚 昂扬不灭！！！！！
2020-01-01,1,2681.74800,aad2f82e,牛逼
2020-01-01,1,2807.52600,24b694e9,柯南
2020-01-01,1,3135.71400,5cb69e79,啦啦啦啦啦啦啦啦绿
2020-01-01,1,2351.02300,ab6af25d,吸吸吸
2020-01-01,1,2978.08300,2c0d7bc9,超超大长腿
2020-01-01,1,3759.01500,138deab5,有内味儿了
2020-01-01,1,2845.94000,7aa95c1b,啊啊啊啊啊啊
2020-01-01,1,1367.71500,b3fa215b,哈哈哈找旅行团借的鼓手
2020-01-01,1,3121.28000,e634bba2,红了吗
2020-01-01,1,3141.20700,c92caab4,我也学红色
2020-01-01,1,2343.98200,d019d48e,哈哈哈哈哈哈
2020-01-01,1,1477.35700,1cd6df9b,1.5倍真的有惊喜
2020-01-01,1,2089.85300,68dfb3d5,好听
2020-01-01,1,3151.36600,1f8b1af9,冲冲冲
2020-01-01,1,3222.86600,30079854,排面
2020-01-01,1,1176.54600,d662c17f,做的太好了
2020-01-01,1,3384.49900,4e85610c,楚云飞
2020-01-01,1,47.10400,32fb55b2,为了部落！
2020-01-01,1,2777.66200,30ba7190,V叔瞪我了
2020-01-01,1,3119.52800,dc4d9d9,来了来了
2020-01-01,1,1458.36200,603da9ba,香菜什么时候出来哇
2020-01-01,1,2356.86400,73b50fd3,吸吸吸吸
2020-01-01,1,3778.63800,8d831455,有内味了
2020-01-01,1,2449.79900,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,2005.87900,8e5bc564,新年了，大家都平和些不好吗？
2020-01-01,1,3435.87400,e59ed312,奉先
2020-01-01,1,3246.11800,46ca6e4b,祖国繁荣富强，新年快乐！
2020-01-01,1,394.50300,74a04f3e,昨晚不该看电视剧的，打手！
2020-01-01,1,3149.01400,4e681fc8,我要中国红
2020-01-01,1,2446.42000,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,1147.61500,d2db5688,摄影也很舒服
2020-01-01,1,3173.18300,ef9d0d9,起立致敬
2020-01-01,1,1451.85400,603da9ba,赞！！！
2020-01-01,1,808.12000,fc920560,1
2020-01-01,1,3862.17300,54b4242c,科技的力量哈哈哈哈
2020-01-01,1,3673.93700,6210ba80,祖安人呢
2020-01-01,1,2419.86900,95ac04d8,给老子冲！！！
2020-01-01,1,2693.37200,e263bac8,焊死
